fold,event_id,instance_id,original_class,observed_ms,plain_prediction_ms,stratified_prediction_ms
0,assignment-case-v1:31d35f0150d9a567a479771105e030471485a1f467b99d5ac32e78a42b3d3aec-tool-0008,django__django-14373,shell,254.17878800362814,656.0678064979584,724.5089200041548
0,assignment-case-v1:31d35f0150d9a567a479771105e030471485a1f467b99d5ac32e78a42b3d3aec-tool-0009,django__django-14373,patch,178.9593489957042,206.49217799655162,206.59944599901792
0,assignment-case-v1:31d35f0150d9a567a479771105e030471485a1f467b99d5ac32e78a42b3d3aec-tool-0010,django__django-14373,shell,633.6223839971353,656.0678064979584,724.5089200041548
0,assignment-case-v1:31d35f0150d9a567a479771105e030471485a1f467b99d5ac32e78a42b3d3aec-tool-0011,django__django-14373,patch,172.2564079973381,206.49217799655162,206.59944599901792
0,assignment-case-v1:31d35f0150d9a567a479771105e030471485a1f467b99d5ac32e78a42b3d3aec-tool-0012,django__django-14373,shell,385.4288660004386,656.0678064979584,724.5089200041548
0,assignment-case-v1:31d35f0150d9a567a479771105e030471485a1f467b99d5ac32e78a42b3d3aec-tool-0013,django__django-14373,write,186.8170889938483,210.17419599957066,210.19215800333768
0,assignment-case-v1:31d35f0150d9a567a479771105e030471485a1f467b99d5ac32e78a42b3d3aec-tool-0014,django__django-14373,shell,365.01115699502407,656.0678064979584,724.5089200041548
0,assignment-case-v1:31d35f0150d9a567a479771105e030471485a1f467b99d5ac32e78a42b3d3aec-tool-0015,django__django-14373,patch,187.12010799936252,206.49217799655162,206.59944599901792
0,assignment-case-v1:31d35f0150d9a567a479771105e030471485a1f467b99d5ac32e78a42b3d3aec-tool-0016,django__django-14373,shell,397.0186360020307,656.0678064979584,724.5089200041548
0,assignment-case-v1:31d35f0150d9a567a479771105e030471485a1f467b99d5ac32e78a42b3d3aec-tool-0017,django__django-14373,patch,176.75357900589006,206.49217799655162,206.59944599901792
0,assignment-case-v1:31d35f0150d9a567a479771105e030471485a1f467b99d5ac32e78a42b3d3aec-tool-0018,django__django-14373,shell,347.3726070005796,656.0678064979584,724.5089200041548
0,assignment-case-v1:31d35f0150d9a567a479771105e030471485a1f467b99d5ac32e78a42b3d3aec-tool-0019,django__django-14373,test,143.64395799930207,242.13459799830162,957.6009759912267
0,assignment-case-v1:31d35f0150d9a567a479771105e030471485a1f467b99d5ac32e78a42b3d3aec-tool-0020,django__django-14373,shell,440.40202599717304,656.0678064979584,624.3008909950731
0,assignment-case-v1:31d35f0150d9a567a479771105e030471485a1f467b99d5ac32e78a42b3d3aec-tool-0021,django__django-14373,shell,144.67899900046177,656.0678064979584,142.83649349999905
0,assignment-case-v1:31d35f0150d9a567a479771105e030471485a1f467b99d5ac32e78a42b3d3aec-tool-0022,django__django-14373,read,175.91095899842912,192.1172669972293,194.4453394935408
0,assignment-case-v1:31d35f0150d9a567a479771105e030471485a1f467b99d5ac32e78a42b3d3aec-tool-0024,django__django-14373,test,568.2600540021667,242.13459799830162,611.0998840013053
0,assignment-case-v1:31d35f0150d9a567a479771105e030471485a1f467b99d5ac32e78a42b3d3aec-tool-0025,django__django-14373,read,174.8252980032703,192.1172669972293,194.4453394935408
0,assignment-case-v1:31d35f0150d9a567a479771105e030471485a1f467b99d5ac32e78a42b3d3aec-tool-0026,django__django-14373,write,183.23181799496524,210.17419599957066,210.19215800333768
0,assignment-case-v1:31d35f0150d9a567a479771105e030471485a1f467b99d5ac32e78a42b3d3aec-tool-0027,django__django-14373,shell,376.32488700182876,656.0678064979584,724.5089200041548
0,assignment-case-v1:31d35f0150d9a567a479771105e030471485a1f467b99d5ac32e78a42b3d3aec-tool-0028,django__django-14373,test,511.0632049982087,242.13459799830162,611.0998840013053
0,assignment-case-v1:31d35f0150d9a567a479771105e030471485a1f467b99d5ac32e78a42b3d3aec-tool-0029,django__django-14373,write,185.2641389996279,210.17419599957066,210.19215800333768
0,assignment-case-v1:3e1ee1be1ece436cab2c17d409c312345401c709d4c20003c4a7faefd5fbe2b8-tool-0000,sphinx-doc__sphinx-8621,traversal,197.83093300065957,215.0155929957691,194.4453394935408
0,assignment-case-v1:3e1ee1be1ece436cab2c17d409c312345401c709d4c20003c4a7faefd5fbe2b8-tool-0001,sphinx-doc__sphinx-8621,traversal,152.88541701738723,215.0155929957691,218.4344679917558
0,assignment-case-v1:3e1ee1be1ece436cab2c17d409c312345401c709d4c20003c4a7faefd5fbe2b8-tool-0002,sphinx-doc__sphinx-8621,search,140.04810401820578,120.3497975038772,120.41823800245766
0,assignment-case-v1:3e1ee1be1ece436cab2c17d409c312345401c709d4c20003c4a7faefd5fbe2b8-tool-0003,sphinx-doc__sphinx-8621,search,143.31747201504186,120.3497975038772,120.41823800245766
0,assignment-case-v1:3e1ee1be1ece436cab2c17d409c312345401c709d4c20003c4a7faefd5fbe2b8-tool-0004,sphinx-doc__sphinx-8621,read,265.6985459907446,192.1172669972293,194.4453394935408
0,assignment-case-v1:3e1ee1be1ece436cab2c17d409c312345401c709d4c20003c4a7faefd5fbe2b8-tool-0005,sphinx-doc__sphinx-8621,read,218.5012709815055,192.1172669972293,194.4453394935408
0,assignment-case-v1:3e1ee1be1ece436cab2c17d409c312345401c709d4c20003c4a7faefd5fbe2b8-tool-0006,sphinx-doc__sphinx-8621,read,201.46259997272864,192.1172669972293,194.4453394935408
0,assignment-case-v1:3e1ee1be1ece436cab2c17d409c312345401c709d4c20003c4a7faefd5fbe2b8-tool-0007,sphinx-doc__sphinx-8621,search,152.58704600273632,120.3497975038772,120.41823800245766
0,assignment-case-v1:3e1ee1be1ece436cab2c17d409c312345401c709d4c20003c4a7faefd5fbe2b8-tool-0008,sphinx-doc__sphinx-8621,search,119.1219549800735,120.3497975038772,120.41823800245766
0,assignment-case-v1:3e1ee1be1ece436cab2c17d409c312345401c709d4c20003c4a7faefd5fbe2b8-tool-0009,sphinx-doc__sphinx-8621,write,205.60081899748184,210.17419599957066,210.19215800333768
0,assignment-case-v1:3e1ee1be1ece436cab2c17d409c312345401c709d4c20003c4a7faefd5fbe2b8-tool-0010,sphinx-doc__sphinx-8621,shell,1454.9668469990138,656.0678064979584,724.5089200041548
0,assignment-case-v1:3e1ee1be1ece436cab2c17d409c312345401c709d4c20003c4a7faefd5fbe2b8-tool-0011,sphinx-doc__sphinx-8621,read,185.9913780062925,192.1172669972293,194.4453394935408
0,assignment-case-v1:3e1ee1be1ece436cab2c17d409c312345401c709d4c20003c4a7faefd5fbe2b8-tool-0012,sphinx-doc__sphinx-8621,patch,216.01826199912466,206.49217799655162,206.59944599901792
0,assignment-case-v1:3e1ee1be1ece436cab2c17d409c312345401c709d4c20003c4a7faefd5fbe2b8-tool-0013,sphinx-doc__sphinx-8621,patch,223.27753799618222,206.49217799655162,206.59944599901792
0,assignment-case-v1:3e1ee1be1ece436cab2c17d409c312345401c709d4c20003c4a7faefd5fbe2b8-tool-0014,sphinx-doc__sphinx-8621,shell,802.3631529940758,656.0678064979584,724.5089200041548
0,assignment-case-v1:3e1ee1be1ece436cab2c17d409c312345401c709d4c20003c4a7faefd5fbe2b8-tool-0015,sphinx-doc__sphinx-8621,search,123.89226298546419,120.3497975038772,120.41823800245766
0,assignment-case-v1:3e1ee1be1ece436cab2c17d409c312345401c709d4c20003c4a7faefd5fbe2b8-tool-0016,sphinx-doc__sphinx-8621,patch,237.78772001969628,206.49217799655162,206.59944599901792
